train_loss, train_accuracy, test_loss, test_accuracy
    0.0017,         99.980,    0.1891,        96.010
    0.0016,         99.992,    0.1878,        95.870
    0.0018,         99.978,    0.1870,        95.870
    0.0016,         99.988,    0.1879,        95.910
    0.0016,         99.988,    0.1865,        95.970
    0.0018,         99.976,    0.1908,        95.760
    0.0020,         99.978,    0.1913,        95.810
    0.0018,         99.978,    0.1887,        95.820
    0.0018,         99.972,    0.1866,        95.850
    0.0018,         99.978,    0.1900,        95.790
    0.0018,         99.986,    0.1913,        95.860
    0.0016,         99.988,    0.1908,        95.790
    0.0019,         99.982,    0.1914,        95.840
    0.0017,         99.982,    0.1911,        95.810
    0.0017,         99.978,    0.1883,        95.970
    0.0016,         99.984,    0.1984,        95.720
    0.0016,         99.982,    0.1894,        95.900
    0.0015,         99.988,    0.1912,        95.840
    0.0016,         99.988,    0.1966,        95.630
    0.0015,         99.988,    0.1913,        95.790
    0.0017,         99.978,    0.1909,        95.930
    0.0016,         99.982,    0.1894,        95.950
    0.0017,         99.986,    0.1896,        95.880
    0.0015,         99.986,    0.1907,        95.850
    0.0020,         99.964,    0.1934,        95.800
    0.0018,         99.978,    0.1930,        95.780
    0.0017,         99.984,    0.1913,        95.970
    0.0017,         99.978,    0.1936,        95.860
    0.0017,         99.980,    0.1922,        95.910
    0.0014,         99.992,    0.1915,        95.890
    0.0015,         99.984,    0.1953,        95.900
    0.0015,         99.990,    0.1919,        95.810
