# 大体同じものが出力されるはずだが，表示される順番が異なることがあるので注意．
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
     BatchNorm2d-176           [-1, 1024, 8, 8]           2,048
          Conv2d-177           [-1, 1024, 8, 8]         524,288
     BatchNorm2d-178           [-1, 1024, 8, 8]           2,048
      Bottleneck-179           [-1, 1024, 8, 8]               0
          Conv2d-180           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-181           [-1, 1024, 8, 8]           2,048
          Conv2d-182           [-1, 1024, 8, 8]         524,288
     BatchNorm2d-183           [-1, 1024, 8, 8]           2,048
      Bottleneck-184           [-1, 1024, 8, 8]               0
          Conv2d-185            [-1, 256, 8, 8]         262,144
     BatchNorm2d-186            [-1, 256, 8, 8]             512
          Conv2d-187            [-1, 256, 8, 8]         262,144
     BatchNorm2d-188            [-1, 256, 8, 8]             512
          Conv2d-189            [-1, 256, 8, 8]         589,824
     BatchNorm2d-190            [-1, 256, 8, 8]             512
          Conv2d-191           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-192           [-1, 1024, 8, 8]           2,048
      Bottleneck-193           [-1, 1024, 8, 8]               0
          Conv2d-194            [-1, 256, 8, 8]         262,144
     BatchNorm2d-195            [-1, 256, 8, 8]             512
          Conv2d-196            [-1, 256, 8, 8]         589,824
     BatchNorm2d-197            [-1, 256, 8, 8]             512
          Conv2d-198           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-199           [-1, 1024, 8, 8]           2,048
      Bottleneck-200           [-1, 1024, 8, 8]               0
          Conv2d-201            [-1, 256, 8, 8]         262,144
     BatchNorm2d-202            [-1, 256, 8, 8]             512
          Conv2d-203            [-1, 256, 8, 8]         589,824
          Conv2d-204            [-1, 256, 8, 8]         589,824
     BatchNorm2d-205            [-1, 256, 8, 8]             512
     BatchNorm2d-206            [-1, 256, 8, 8]             512
          Conv2d-207           [-1, 1024, 8, 8]         262,144
          Conv2d-208           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-209           [-1, 1024, 8, 8]           2,048
     BatchNorm2d-210           [-1, 1024, 8, 8]           2,048
      Bottleneck-211           [-1, 1024, 8, 8]               0
      Bottleneck-212           [-1, 1024, 8, 8]               0
          Conv2d-213            [-1, 256, 8, 8]         262,144
          Conv2d-214            [-1, 256, 8, 8]         262,144
     BatchNorm2d-215            [-1, 256, 8, 8]             512
     BatchNorm2d-216            [-1, 256, 8, 8]             512
          Conv2d-217            [-1, 256, 8, 8]         589,824
          Conv2d-218            [-1, 256, 8, 8]         589,824
     BatchNorm2d-219            [-1, 256, 8, 8]             512
     BatchNorm2d-220            [-1, 256, 8, 8]             512
          Conv2d-221           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-222           [-1, 1024, 8, 8]           2,048
          Conv2d-223           [-1, 1024, 8, 8]         262,144
      Bottleneck-224           [-1, 1024, 8, 8]               0
     BatchNorm2d-225           [-1, 1024, 8, 8]           2,048
          Conv2d-226            [-1, 256, 8, 8]         262,144
      Bottleneck-227           [-1, 1024, 8, 8]               0
     BatchNorm2d-228            [-1, 256, 8, 8]             512
          Conv2d-229            [-1, 256, 8, 8]         262,144
          Conv2d-230            [-1, 256, 8, 8]         589,824
     BatchNorm2d-231            [-1, 256, 8, 8]             512
     BatchNorm2d-232            [-1, 256, 8, 8]             512
          Conv2d-233            [-1, 256, 8, 8]         589,824
          Conv2d-234           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-235            [-1, 256, 8, 8]             512
     BatchNorm2d-236           [-1, 1024, 8, 8]           2,048
      Bottleneck-237           [-1, 1024, 8, 8]               0
          Conv2d-238           [-1, 1024, 8, 8]         262,144
          Conv2d-239            [-1, 256, 8, 8]         262,144
     BatchNorm2d-240           [-1, 1024, 8, 8]           2,048
     BatchNorm2d-241            [-1, 256, 8, 8]             512
      Bottleneck-242           [-1, 1024, 8, 8]               0
          Conv2d-243            [-1, 256, 8, 8]         262,144
          Conv2d-244            [-1, 256, 8, 8]         589,824
     BatchNorm2d-245            [-1, 256, 8, 8]             512
     BatchNorm2d-246            [-1, 256, 8, 8]             512
          Conv2d-247           [-1, 1024, 8, 8]         262,144
          Conv2d-248            [-1, 256, 8, 8]         589,824
     BatchNorm2d-249            [-1, 256, 8, 8]             512
     BatchNorm2d-250           [-1, 1024, 8, 8]           2,048
      Bottleneck-251           [-1, 1024, 8, 8]               0
          Conv2d-252           [-1, 1024, 8, 8]         262,144
          Conv2d-253            [-1, 256, 8, 8]         262,144
     BatchNorm2d-254           [-1, 1024, 8, 8]           2,048
     BatchNorm2d-255            [-1, 256, 8, 8]             512
